area,aspect_ratio,circularity,solidity,h,s,v,label
8073.5,2.4347826086956523,0.5104810706052176,0.8874416048364936,172.38687454677302,217.19712351945856,131.84578196760938,0
9727.0,2.972972972972973,0.40849188018340954,0.85257253045841,172.91889724310778,217.92000000000002,146.486015037594,0
2003.0,1.4603174603174602,0.3706513336437849,0.8503502441095309,161.02743614001892,225.33207190160832,112.21475875118259,0
1849.5,1.4915254237288136,0.3797834197800154,0.858834455537497,162.49770056208484,225.55339805825244,110.20132856412879,0
1740.0,1.653061224489796,0.46731671387196155,0.909328455709433,167.72013093289686,229.34097108565192,109.50954719039825,0
3299.5,0.6910569105691057,0.13913893985465503,0.5332094376212023,112.805249788315,187.91786621507197,134.4419983065199,0
2187.0,1.5526315789473684,0.1509010844805379,0.7184625492772667,173.66455428812844,201.17025771018166,97.65145754119138,0
1417.0,1.5128205128205128,0.18730077867275377,0.8387096774193549,173.95531088082902,196.6806994818653,105.15349740932643,0
741.0,1.4489795918367347,0.26355528869021533,0.8420454545454545,173.88766788766787,201.9010989010989,94.28327228327228,0
671.0,1.4565217391304348,0.27125960036772956,0.8074608904933814,173.79166666666669,202.46639784946237,94.16801075268818,0
1560.0,1.4268292682926829,0.2075865245036257,0.8664259927797834,174.13242280285036,196.72387173396675,109.51543942992875,0
